"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"NS_Model - CAR T Cells (2).nlogo"
"unique patches visited+tp_relationship"
"02/12/2026 05:56:58:716 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","c-ratio","total-cells","tp","num-cs","mp","t-ratio","num-ts","[step]","count unique-patches-cs","count unique-patches-ts","mean [count unique-patches-visited] of turtles"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","12","12","12","11.50251256281407"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","25","24","25","23.71356783919598"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","19","19","19","17.633165829145728"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","25","20","25","23.809045226130653"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","30","30","26","28.57788944723618"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","26","26","26","24.65326633165829"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","27","25","23","25.668341708542712"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","20","20","20","18.542713567839197"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","26","24","26","24.768844221105528"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","13","13","11","12.442211055276381"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","31","28","29","29.547738693467338"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","21","21","21","19.462311557788944"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","28","26","26","26.628140703517587"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","27","26","26","25.597989949748744"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","27","25","27","25.733668341708544"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","14","11","14","13.366834170854272"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","32","32","29","30.517587939698494"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","29","29","26","27.57788944723618"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","28","28","26","26.693467336683415"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","28","28","27","26.55276381909548"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","22","16","20","20.371859296482413"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","33","30","32","31.467336683417084"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","30","26","26","28.512562814070353"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","23","22","23","21.306532663316585"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","34","34","34","32.41206030150754"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","29","27","29","27.477386934673365"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","15","13","15","14.296482412060302"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","31","30","31","29.452261306532662"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","24","23","23","22.190954773869347"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","29","29","29","27.65326633165829"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","16","14","16","15.256281407035177"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","30","30","28","28.417085427135678"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","25","23","24","23.110552763819097"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","35","35","34","33.37185929648241"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","32","32","28","30.366834170854272"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","30","28","30","28.608040201005025"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","36","36","33","34.311557788944725"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","31","27","29","29.36180904522613"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","26","22","26","24.00502512562814"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","17","14","17","16.21608040201005"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","33","31","31","31.306532663316585"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","31","28","29","29.5678391959799"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","27","26","26","24.91457286432161"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","32","31","31","30.28643216080402"
